,pop,type,garden,death,total,surv,propdead,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD0 ,DD5 ,DDL18 ,DDG18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,DD0_wt ,DD5_sm ,PRATIO
62,MTT1,T2x,Ephraim,0,6,6,0,7.7,21.6,-5.7,27.2,358,200,49.5,107.8,540,2173,3989,267,188,132,269,137,48,-36.6,39.4,14.7,880,568,52,47,135,94,82,444,1351,55.87
63,MTT1,T2x,Majors,0,6,6,0,7.7,21.6,-5.7,27.2,358,200,49.5,107.8,540,2173,3989,267,188,132,269,137,48,-36.6,39.4,14.7,880,568,52,47,135,94,82,444,1351,55.87
67,MTW1,W4x,Ephraim,2,6,4,0.333333333,7.1,22.4,-7.9,30.2,365,232,46.8,96.7,749,2209,4269,316,177,135,265,129,51,-39.9,41.8,14.3,850,540,49,38,118,134,76,615,1419,63.56
68,MTW1,W4x,Majors,0,6,6,0,7.1,22.4,-7.9,30.2,365,232,46.8,96.7,749,2209,4269,316,177,135,265,129,51,-39.9,41.8,14.3,850,540,49,38,118,134,76,615,1419,63.56
70,MTW2,W4x,Ephraim,0,9,9,0,7.6,23.6,-8.6,32.2,340,223,51.8,105.9,773,2414,4170,409,186,129,269,140,46,-39.5,41.9,13.9,906,602,50,36,101,136,67,650,1526,65.59
71,MTW2,W4x,Majors,1,9,8,0.111111111,7.6,23.6,-8.6,32.2,340,223,51.8,105.9,773,2414,4170,409,186,129,269,140,46,-39.5,41.9,13.9,906,602,50,36,101,136,67,650,1526,65.59
72,MTW3,W4x,Majors,0,9,9,0,7.7,21.5,-5.1,26.6,462,259,38.4,83.2,505,2137,3984,260,202,125,277,152,58,-33.2,38.2,15,804,401,60,56,186,116,104,406,1339,56.06
73,MTW3,W4x,Ephraim,7,10,3,0.7,7.7,21.5,-5.1,26.6,462,259,38.4,83.2,505,2137,3984,260,202,125,277,152,58,-33.2,38.2,15,804,401,60,56,186,116,104,406,1339,56.06
76,NMT1,T4x,Ephraim,2,10,8,0.2,8.2,20.6,-3.7,24.3,293,166,62,124.1,408,2089,3779,213,170,152,270,118,33,-37.5,37.7,18.8,1078,831,44,46,53,115,79,337,1290,56.66
77,NMT1,T4x,Majors,0,10,10,0,8.2,20.6,-3.7,24.3,293,166,62,124.1,408,2089,3779,213,170,152,270,118,33,-37.5,37.7,18.8,1078,831,44,46,53,115,79,337,1290,56.66
78,NMT2,T4x,Ephraim,7,10,3,0.7,9.7,22.1,-2.4,24.5,255,146,77.1,150.7,308,2440,3362,330,187,140,276,136,17,-35.4,39.1,18.9,1195,962,44,33,46,103,73,260,1435,57.25
79,NMT2,T4x,Majors,0,10,10,0,9.7,22.1,-2.4,24.5,255,146,77.1,150.7,308,2440,3362,330,187,140,276,136,17,-35.4,39.1,18.9,1195,962,44,33,46,103,73,260,1435,57.25
81,NVT1,T2x,Ephraim,6,10,4,0.6,8.9,21.3,-1.8,23.1,265,108,71.1,197.9,289,2138,3558,243,171,150,259,109,29,-34.5,40.6,17.3,1111,888,44,68,82,59,57,233,1320,40.75
83,NVT1,T2x,Majors,0,10,10,0,8.9,21.3,-1.8,23.1,265,108,71.1,197.9,289,2138,3558,243,171,150,259,109,29,-34.5,40.6,17.3,1111,888,44,68,82,59,57,233,1320,40.75
85,NVT2,T2x,Majors,0,9,9,0,8.9,21.6,-2.3,24,239,101,79.1,215,328,2222,3584,277,188,144,272,128,29,-34.1,39.9,18,1069,864,48,54,65,56,64,266,1366,42.26
86,NVT2,T2x,Ephraim,6,10,4,0.6,8.9,21.6,-2.3,24,239,101,79.1,215,328,2222,3584,277,188,144,272,128,29,-34.1,39.9,18,1069,864,48,54,65,56,64,266,1366,42.26
97,NVW1,T2x,Ephraim,8,10,2,0.8,9.3,22,-1.8,23.8,302,92,63.9,240,272,2273,3446,305,195,144,269,125,35,-31.3,40.9,16.7,1051,810,50,83,95,49,76,220,1388,30.46
98,NVW1,T2x,Majors,2,8,6,0.25,9.3,22,-1.8,23.8,302,92,63.9,240,272,2273,3446,305,195,144,269,125,35,-31.3,40.9,16.7,1051,810,50,83,95,49,76,220,1388,30.46
99,ORT1,T2x,Ephraim,8,10,2,0.8,8.2,20.5,-2.9,23.4,342,109,53,187.8,347,1990,3776,206,177,151,260,109,57,-32.6,40,16.4,987,730,49,103,98,57,84,278,1262,31.87
100,ORT1,T2x,Majors,1,10,9,0.1,8.2,20.5,-2.9,23.4,342,109,53,187.8,347,1990,3776,206,177,151,260,109,57,-32.6,40,16.4,987,730,49,103,98,57,84,278,1262,31.87
102,ORT2,T2x,Ephraim,4,9,5,0.444444444,11.6,23,0.5,22.5,244,61,88.4,380.2,150,2792,2767,442,259,112,289,177,15,-23.7,40.9,14.6,1018,824,58,91,58,30,65,128,1527,25.00
103,ORT2,T2x,Majors,1,10,9,0.1,11.6,23,0.5,22.5,244,61,88.4,380.2,150,2792,2767,442,259,112,289,177,15,-23.7,40.9,14.6,1018,824,58,91,58,30,65,128,1527,25.00
105,ORT3,T2x,Majors,2,11,9,0.181818182,6.6,18,-2.6,20.6,321,115,51.9,156.4,393,1568,4213,88,172,163,262,99,66,-31.2,37.5,16.1,837,607,55,78,99,60,83,283,1038,35.83
107,ORT3,T2x,Ephraim,7,10,3,0.7,6.6,18,-2.6,20.6,321,115,51.9,156.4,393,1568,4213,88,172,163,262,99,66,-31.2,37.5,16.1,837,607,55,78,99,60,83,283,1038,35.83
113,ORW1,W4x,Majors,0,3,3,0,7.7,20.1,-3.7,23.9,295,86,60.2,233.3,411,1938,3905,185,171,153,255,102,69,-33.7,40.3,16.1,956,779,49,105,74,47,69,334,1231,29.15
114,ORW1,W4x,Ephraim,1,3,2,0.333333333,7.7,20.1,-3.7,23.9,295,86,60.2,233.3,411,1938,3905,185,171,153,255,102,69,-33.7,40.3,16.1,956,779,49,105,74,47,69,334,1231,29.15
117,ORW2,T2x,Majors,1,11,10,0.090909091,7,18.5,-2.3,20.8,306,109,55.6,170.2,366,1654,4091,106,175,161,263,102,56,-31.1,38,16.2,860,642,54,78,92,57,79,268,1082,35.62
118,ORW2,T2x,Ephraim,9,10,1,0.9,7,18.5,-2.3,20.8,306,109,55.6,170.2,366,1654,4091,106,175,161,263,102,56,-31.1,38,16.2,860,642,54,78,92,57,79,268,1082,35.62
119,ORW3,T2x,Majors,1,3,2,0.333333333,7.8,18.2,-1.5,19.7,286,97,62.3,187.8,278,1763,3781,101,172,161,253,92,37,-30.5,39.1,15,954,747,49,86,71,57,72,215,1081,33.92
120,ORW3,T2x,Ephraim,3,3,0,1,7.8,18.2,-1.5,19.7,286,97,62.3,187.8,278,1763,3781,101,172,161,253,92,37,-30.5,39.1,15,954,747,49,86,71,57,72,215,1081,33.92
122,UTT1,T2x,Ephraim,6,10,4,0.6,6.9,19,-4.1,23.2,318,151,53.1,125.7,479,1755,4158,120,157,161,259,97,63,-37.7,37.1,18,980,729,46,67,74,98,78,375,1138,47.48
123,UTT1,T2x,Majors,1,10,9,0.1,6.9,19,-4.1,23.2,318,151,53.1,125.7,479,1755,4158,120,157,161,259,97,63,-37.7,37.1,18,980,729,46,67,74,98,78,375,1138,47.48
124,UTT2,T2x,Ephraim,3,10,7,0.3,9.5,23.2,-4.1,27.3,307,141,63.5,164.4,380,2501,3472,393,207,127,281,154,33,-33.9,39.5,17,1033,777,53,52,70,87,99,327,1503,45.93
125,UTT2,T2x,Majors,0,9,9,0,9.5,23.2,-4.1,27.3,307,141,63.5,164.4,380,2501,3472,393,207,127,281,154,33,-33.9,39.5,17,1033,777,53,52,70,87,99,327,1503,45.93
127,UTT3,T2x,Majors,0,8,8,0,11.1,23.7,-0.5,24.1,300,112,70.3,212.1,198,2731,2972,452,210,133,282,149,21,-31.5,40.6,18,1240,972,47,83,71,73,73,169,1554,37.33
129,UTT3,T2x,Ephraim,5,8,3,0.625,11.1,23.7,-0.5,24.1,300,112,70.3,212.1,198,2731,2972,452,210,133,282,149,21,-31.5,40.6,18,1240,972,47,83,71,73,73,169,1554,37.33
133,UTV2,W4x,Ephraim,5,10,5,0.5,6.8,19,-4.2,23.1,323,152,52.1,124.5,484,1744,4174,117,157,162,259,97,65,-37.7,37,18,976,722,46,69,76,99,79,378,1132,47.06
134,UTV2,W4x,Majors,1,10,9,0.1,6.8,19,-4.2,23.1,323,152,52.1,124.5,484,1744,4174,117,157,162,259,97,65,-37.7,37,18,976,722,46,69,76,99,79,378,1132,47.06
140,UTW1,W4x,Ephraim,6,10,4,0.6,9.9,23.7,-3.9,27.6,306,138,64.9,170.9,366,2594,3394,434,213,123,282,160,31,-33.4,39.7,17.2,1033,779,54,51,72,85,97,317,1548,45.10
141,UTW1,W4x,Majors,1,10,9,0.1,9.9,23.7,-3.9,27.6,306,138,64.9,170.9,366,2594,3394,434,213,123,282,160,31,-33.4,39.7,17.2,1033,779,54,51,72,85,97,317,1548,45.10
142,UTW2,W4x,Ephraim,10,10,0,1,8.5,22.4,-4.5,26.9,263,127,70.1,176.6,440,2227,3771,313,193,136,270,134,37,-34,40.2,15.9,975,760,52,48,85,70,60,371,1402,48.29
143,UTW2,W4x,Majors,0,9,9,0,8.5,22.4,-4.5,26.9,263,127,70.1,176.6,440,2227,3771,313,193,136,270,134,37,-34,40.2,15.9,975,760,52,48,85,70,60,371,1402,48.29
145,WAT1,T2x,Majors,0,10,10,0,11,22.8,-0.5,23.3,278,71,75.7,322.5,186,2681,2932,415,257,115,292,177,22,-24.4,41,14.3,959,763,59,100,72,35,71,159,1499,25.54
146,WAT1,T2x,Ephraim,3,10,7,0.3,11,22.8,-0.5,23.3,278,71,75.7,322.5,186,2681,2932,415,257,115,292,177,22,-24.4,41,14.3,959,763,59,100,72,35,71,159,1499,25.54
149,WAT2,T4x,Ephraim,2,9,7,0.222222222,10.7,22.5,-1.4,24,194,53,106.4,428.3,231,2637,3059,404,244,116,287,172,22,-26.6,40.9,14.5,938,803,59,72,46,28,48,199,1492,27.32
150,WAT2,T4x,Majors,0,9,9,0,10.7,22.5,-1.4,24,194,53,106.4,428.3,231,2637,3059,404,244,116,287,172,22,-26.6,40.9,14.5,938,803,59,72,46,28,48,199,1492,27.32
151,WYW2,W4x,Ephraim,3,4,1,0.75,1.9,15.9,-12.2,28.1,203,117,58.9,135.8,1363,1152,5854,30,100,186,226,41,66,-47.6,36.7,16.2,783,636,39,32,51,69,50,975,847,57.64
